    ,Ticker ,Predicted Outcome ,Outcome Certainty ,Predicted Return ,Recommendation ,Previous Close       ,Predicted Close
 29 ,ABT    ,-                 ,       0.52465475 ,0.09416582       ,Refrain        , 133.39999389648438  , 133.52560424804688
 30 ,META   ,-                 ,       0.5404421  ,0.09271336       ,Refrain        , 694.0599975585938   , 694.7034301757812
 31 ,MCD    ,+                 ,       0.5548622  ,0.09167731       ,Refrain        , 304.7799987792969   , 305.05938720703125
 32 ,MA     ,+                 ,       0.61728483 ,0.090938635      ,Refrain        , 584.3300170898438   , 584.8613891601562
 33 ,IBM    ,+                 ,       0.65257704 ,0.09067208       ,Refrain        , 272.0799865722656   , 272.3266906738281
 34 ,AMT    ,+                 ,       0.56745434 ,0.09050728       ,Refrain        , 212.8300018310547   , 213.02261352539062
 35 ,BKNG   ,+                 ,       0.5752282  ,0.08695932       ,Refrain        ,5539.41015625        ,5544.2275390625
 36 ,ADBE   ,-                 ,       0.708807   ,0.084549256      ,Refrain        , 416.260009765625    , 416.6119689941406
 37 ,CVX    ,+                 ,       0.5655427  ,0.08434485       ,Refrain        , 140.75999450683594  , 140.8787078857422
 38 ,JPM    ,+                 ,       0.53518194 ,0.083110735      ,Refrain        , 266.739990234375    , 266.961669921875
 39 ,BRK-B  ,-                 ,       0.550881   ,0.08096185       ,Refrain        , 493.3299865722656   , 493.72943115234375
 40 ,MMM    ,+                 ,       0.50662214 ,0.07998734       ,Refrain        , 144.22999572753906  , 144.34536743164062
 41 ,SPG    ,-                 ,       0.5395664  ,0.079342976      ,Refrain        , 160.4199981689453   , 160.5472869873047
 42 ,ACN    ,+                 ,       0.5500219  ,0.07085423       ,Refrain        , 316.6199951171875   , 316.8443603515625
 43 ,UNP    ,-                 ,       0.51656616 ,0.06501595       ,Refrain        , 224.13999938964844  , 224.2857208251953
 44 ,MS     ,-                 ,       0.6044992  ,0.06422761       ,Refrain        , 131.9499969482422   , 132.0347442626953
 45 ,C      ,-                 ,       0.53847396 ,0.06343443       ,Refrain        ,  78.16999816894531  ,  78.2195816040039
 46 ,LIN    ,+                 ,       0.53685015 ,0.06324481       ,Refrain        , 472.1700134277344   , 472.4686279296875
 47 ,BK     ,+                 ,       0.662035   ,0.0614411        ,Refrain        ,  90.01000213623047  ,  90.0653076171875
 48 ,COST   ,+                 ,       0.5503121  ,0.06036154       ,Refrain        ,1006.1799926757812   ,1006.7872924804688
 49 ,MO     ,-                 ,       0.54526556 ,0.058329437      ,Refrain        ,  59.06999969482422  ,  59.104454040527344
 50 ,DUK    ,+                 ,       0.5898202  ,0.052836493      ,Refrain        , 115.47000122070312  , 115.531005859375
 51 ,NEE    ,+                 ,       0.53235114 ,0.052483413      ,Refrain        ,  71.9000015258789   ,  71.93773651123047
 52 ,UPS    ,-                 ,       0.50990903 ,0.047570616      ,Refrain        ,  99.30999755859376  ,  99.35724639892578
 53 ,USB    ,-                 ,       0.5013844  ,0.043129493      ,Refrain        ,  44.869998931884766 ,  44.88935089111328
 54 ,AMGN   ,+                 ,       0.533637   ,0.040955734      ,Refrain        , 289.9800109863281   , 290.0987854003906
 55 ,BAC    ,-                 ,       0.5022181  ,0.03472667       ,Refrain        ,  44.869998931884766 ,  44.885581970214844
 56 ,AIG    ,+                 ,       0.5721097  ,0.033934124      ,Refrain        ,  85.18000030517578  ,  85.20890808105469
 57 ,HON    ,+                 ,       0.518318   ,0.032882314      ,Refrain        , 227.1300048828125   , 227.20468139648438
 58 ,BLK    ,+                 ,       0.5366934  ,0.023845067      ,Refrain        , 988.8400268554688   , 989.0758056640625
