,SPY_1d_lagged_return,SPY_3d_lagged_return,SPY_5d_lagged_return,target_daily_return,previous_close,previous_volume,1d_lagged_return,3d_lagged_return,5y_lagged_return,rolling_avg_return_3d,rolling_avg_return_5d,max_return_last_5d,min_return_last_5d,volatility_5d,max_drawdown_5d,volume_spike_ratio,obv_lagged,relative_3d_return,price_vs_sma10_ratio,sma5_vs_sma10_ratio
4719,0.012045183146413674,0.011468928008547596,-0.01800525006834386,-0.00040185049596785927,123.7637939453125,22255700.0,0.012045183146413674,0.011468928008547596,-0.01800525006834386,0.0040955731484796365,0.002344180702195442,0.012045183146413674,-0.002196217502786757,0.02064494204434135,0.014144484443309655,0.856859492168385,25786726934.0,0.0,0.9988111710015201,0.9971887122835132
4720,0.0006433867949930949,0.014347421320985987,-0.02720667015613809,0.011336271273266085,123.84342193603516,19287700.0,0.0006433867949930949,0.014347421320985987,-0.02720667015613809,0.0038592691907637735,0.00505067845740601,0.012045183146413674,-0.00040185049596785927,0.019492308763113766,0.014144484443309655,0.7509713370402283,25806014634.0,0.0,0.9996224043981895,0.9917655387739804
4721,-0.00040185049596785927,0.012289367134868945,0.011712972959457613,-0.013753164796476147,123.7936553955078,24659600.0,-0.00040185049596785927,0.012289367134868945,0.011712972959457613,-0.0009395813397259737,0.0019739651844457697,0.012045183146413674,-0.013753164796476147,0.005605076542530837,0.023213291209783535,0.9907683480939855,25781355034.0,0.0,0.9984106105545566,0.9932732811175841
4722,0.011336271273266085,0.011580284217056924,0.025434101994362912,-0.0016927069817009865,125.19701385498048,24517100.0,0.011336271273266085,0.011580284217056924,0.025434101994362912,-0.0013698668349703496,-0.0007736128411771626,0.011336271273266085,-0.013753164796476147,0.006109098924437454,0.013753164796476092,1.0567510543976517,25805872134.0,0.0,1.0085792297222176,0.9971455916539236
4723,-0.013753164796476147,-0.0029736197439629297,0.009684945882427298,-0.020912323840556746,123.47515869140624,56686800.0,-0.013753164796476147,-0.0029736197439629297,0.009684945882427298,-0.01211939853957796,-0.0050847549682871305,0.011336271273266085,-0.020912323840556746,0.010533752453100344,0.015422591700105591,2.448632614828519,25749185334.0,0.0,0.9956420968902711,0.9999919532320866
4724,-0.0016927069817009865,-0.004261155110088843,-0.004020905478299586,0.021523982818995924,123.26615142822266,22698000.0,-0.0016927069817009865,-0.004261155110088843,-0.004020905478299586,-0.00036034933442060285,-0.0006995883052943741,0.021523982818995924,-0.020912323840556746,0.008917803702073868,0.03601239330856901,0.8443307494039876,25726487334.0,0.0,0.9961793317522907,1.0014236708002
4725,-0.020912323840556746,-0.03601239330856898,-0.025476138625175948,-0.006862033011102886,120.68836975097656,22612000.0,-0.020912323840556746,-0.03601239330856898,-0.025476138625175948,-0.002083458010887903,-0.0043392491621681685,0.021523982818995924,-0.020912323840556746,0.01253733376780927,0.03601239330856901,0.8410519025581933,25703875334.0,0.0,0.9805919806881687,1.0016820217695495
4726,0.021523982818995924,-0.0015314379463937655,-0.00410030098826053,-0.03194610824150479,123.28606414794922,20781900.0,0.021523982818995924,-0.0015314379463937655,-0.00410030098826053,-0.0057613861445372505,-0.007977837851173897,0.021523982818995924,-0.03194610824150479,0.017454840668466483,0.02256963238568918,0.7639963428581512,25724657234.0,0.0,1.0009454544891434,1.000105047745808
4727,-0.006862033011102886,-0.006701599041539219,-0.022020834715889337,-0.000671675363044244,122.44007110595705,29542900.0,-0.006862033011102886,-0.006701599041539219,-0.022020834715889337,-0.013159938871883973,-0.0077736315274425484,0.021523982818995924,-0.03194610824150479,0.016167591071633323,0.03858892600327823,1.1423360218515086,25695114334.0,0.0,0.9937958665952915,0.9953468813690682
4728,-0.03194610824150479,-0.017895530564580264,-0.04006126740408,0.017393431024781192,118.5285873413086,23185000.0,-0.03194610824150479,-0.017895530564580264,-0.04006126740408,-0.005074784193255947,-0.00011248055437496074,0.021523982818995924,-0.03194610824150479,0.020327839448991556,0.03923468213543972,0.8804000209610011,25671929334.0,0.0,0.9649946802793476,0.9903411453795105
4729,-0.000671675363044244,-0.03923468213543968,-0.039079477723880096,-0.008837075998727073,118.448974609375,27221700.0,-0.000671675363044244,-0.03923468213543968,-0.039079477723880096,0.0026282265543366248,-0.00618469231791956,0.017393431024781192,-0.03194610824150479,0.020411717626152886,0.03923468213543972,1.0225007484223032,25644707634.0,0.0,0.9685374115284853,0.9867671587588603
4730,0.017393431024781192,-0.015769857117176156,-0.0014844932626649765,0.007999336731350448,120.50920867919922,19753100.0,0.017393431024781192,-0.015769857117176156,-0.0014844932626649765,0.005518563919134856,-0.003212418369428893,0.017393431024781192,-0.03194610824150479,0.021411693630160298,0.0325963261906981,0.7283787506079625,25664460734.0,0.0,0.9880774256087069,0.9891709715333633
4731,-0.008837075998727073,0.007725328739550008,-0.031161709402809712,-0.0033892582704023733,119.44425964355467,18517500.0,-0.008837075998727073,0.007725328739550008,-0.031161709402809712,-0.0014089991792596661,0.00249895162479159,0.017393431024781192,-0.008837075998727073,0.017730381667501755,0.0170960716811995,0.6816472617602788,25645943234.0,0.0,0.9828507038428087,0.9863886479128348
4732,0.007999336731350448,0.016469200295980757,-0.016663961319665188,0.017169809305302985,120.39973449707033,23865800.0,0.007999336731350448,0.016469200295980757,-0.016663961319665188,0.007259962588750353,0.006067248558461036,0.017393431024781192,-0.008837075998727073,0.01880173904079515,0.0170960716811995,0.8988460205787975,25669809034.0,0.0,0.9946391516997413,0.9869267031813138
4733,-0.0033892582704023733,-0.004294609380475323,0.012343700306241434,-0.013862778180234403,119.99166870117188,13888300.0,-0.0033892582704023733,-0.004294609380475323,0.012343700306241434,-2.7409048444596944e-05,-0.00018399328254208313,0.017169809305302985,-0.013862778180234403,0.010311755021141806,0.021365034614282883,0.5243545100573991,25655920734.0,0.0,0.9941289272974227,0.9921993591211223
4734,0.017169809305302985,0.02183146461138552,0.03041755467704932,-0.006532784104479772,122.0519027709961,17830300.0,0.017169809305302985,0.02183146461138552,0.03041755467704932,-0.001075250993137063,0.0002768650963073771,0.017169809305302985,-0.013862778180234403,0.011904270672912175,0.021365034614282883,0.8029272352118423,25673751034.0,0.0,1.0122162239013275,0.9991745713432342
