,Date,SPY_1d_lagged_return,SPY_3d_lagged_return,SPY_5d_lagged_return,target_daily_return,target_daily_result,previous_close,previous_volume,1d_lagged_return,3d_lagged_return,5y_lagged_return,volatility_5d,volume_spike_ratio,relative_3d_return,price_vs_sma10_ratio,sma5_vs_sma10_ratio
7826,1993-02-08,-0.0006946590687012533,0.014094307317915167,0.023470923919826525,0.00452560843432348,1,3.7168805599212646,3247200.0,-0.010448111725474885,0.029502872818971015,0.06591613643418492,0.013919221130538216,0.9538580845288872,0.015408565501055849,1.0343210794923772,1.0202806713565955
7827,1993-02-09,0.0,0.0034869882658876694,0.01624300556828273,-0.02552534182019739,0,3.733701705932617,2512800.0,0.00452560843432348,0.007564771713131302,0.05379833675105106,0.014220853106390102,0.7235159975122659,0.0040777834472436325,1.0331993134163646,1.0251318732297665
7828,1993-02-10,-0.006949285579878173,-0.0076391172643304195,0.007047076371434313,0.021570722305741974,1,3.638397693634033,1822800.0,-0.02552534182019739,-0.03134274831109929,0.0077646611634736296,0.020302307042331862,0.533731553056922,-0.02370363104676887,1.0035571078203303,1.0233494394321359
7829,1993-02-11,0.0013993222807364702,-0.00555968758928882,-0.0020920858887869542,0.0030171150527522617,1,3.7168805599212646,2122800.0,0.021570722305741974,0.0,0.0030254711809136747,0.018901579792811294,0.6354166666666666,0.00555968758928882,1.0195291848184516,1.0182993848148651
7830,1993-02-12,0.0048915889133998025,-0.0006952943820627278,-0.0013894704582160244,-0.0057425568194644505,0,3.7280948162078857,1454400.0,0.0030171150527522617,-0.001501697287660253,-0.0074625198278822635,0.017650597356222233,0.43745037176062945,-0.0008064029055975253,1.0175977644033298,1.0117828244646991
7831,1993-02-16,-0.0076488311643938545,-0.0013992455340529064,-0.00833880735711856,-0.03647412151359675,0,3.706686019897461,787200.0,-0.0057425568194644505,0.018768791103542348,-0.0027427677213334167,0.017164439083339415,0.24372120671719424,0.020168036637595255,1.0057242107704196,1.005199502015735
7832,1993-02-17,-0.025227628754453613,-0.027951783369118854,-0.03335606777531186,-0.012618036454968395,0,3.5714879035949707,3246000.0,-0.03647412151359675,-0.03911684919177871,-0.04344583877172059,0.023004477387823602,1.046867138821162,-0.011165065822659859,0.9682952046281751,0.995629742171491
7833,1993-02-18,-0.0007196811831281513,-0.03337965753041239,-0.027292118368865914,0.00319541306813953,1,3.5264227390289307,2130000.0,-0.012618036454968395,-0.05409521139381601,-0.03077589753341725,0.02129540835589836,0.681565103866682,-0.020715553863403624,0.9582580353966499,0.9918152384306869
7834,1993-02-19,-0.0007193315967962688,-0.02662983402485486,-0.02935006995648104,0.006368650220054395,1,3.537691116333008,1953600.0,0.00319541306813953,-0.04559191219792824,-0.0482096318941313,0.016348115974410743,0.6492781367153226,-0.018962078173073382,0.9657282073211731,0.9865800950551108
7835,1993-02-22,0.0036002734748716847,0.0021565994086438778,-0.030597383849740756,0.00949409451811345,1,3.5602214336395264,1122000.0,0.006368650220054395,-0.0031545591808119777,-0.0450292685257172,0.017054598616281426,0.46928327645051193,-0.0053111585894558555,0.9771039747664281,0.9826699398266424
